image_urls, collection, material, size
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_SRB-731-0001.jpg, UNSTRING BY KAVI, Hand Knotted- Wool And Bamboo Silk, 240x300 - 270x360 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_AKWL-13025-0045.jpg, UVENUTI, Hand Knotted- Wool, 240x300 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_ESKM-01-0006.jpg, AFTERGLOW BY KAVI, Hand Knotted- Wool And Bamboo Silk, 120x180 - 360x450 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_AIWS-3006-0004.jpg, AZALEA, Hand Knotted- Wool And Silk, 240x300 - 360x450 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_SRB-706-0001.jpg, UNSTRING BY KAVI, Hand Knotted- Wool And Bamboo Silk, 168x240 - 300x420 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_ESK-404-0026.jpg, CHAOS THEORY BY KAVI, Hand Knotted- Wool And Bamboo Silk, 270x360 - 300x420 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_ESK-761-0001.jpg, FREE VERSE BY KAVI, Hand Knotted- Wool And Bamboo Silk, 240x300 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_LRB-1502-0007.jpg, UVENUTI, Hand Knotted- Wool And Bamboo Silk, 300x420 - 360x540 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_QM-701-0009.jpg, FREE VERSE BY KAVI, Hand Knotted- Wool And Silk, 240x300 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_ESKN-1004-0001.jpg, CHAOS THEORY BY KAVI, Hand Knotted- Wool And Bamboo Silk, 168x240 - 360x450 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_TOP-179-0003.jpg, KORA, Hand Tufted- Wool And Viscose, 180x270 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_AIWS-3006-0003.jpg, AZALEA, Hand Knotted- Wool And Silk, 180x270 - 240x300 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_UPR-1513-0004.jpg, VISCAYA, Hand Knotted- Wool, 240x300 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_LRB-1642-0001.jpg, UVENUTI, Hand Knotted- Wool And Bamboo Silk, 240x300 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_AIBS-3016-0004.jpg, AZALEA, Hand Knotted- Bamboo Silk, 240x300 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_TAQ-4312%28MD%29-01.jpg, GENESIS, Hand Tufted- Wool And Viscose, 360x450 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_ESK-400-0017.jpg, CHAOS THEORY BY KAVI, Hand Knotted- Wool And Bamboo Silk, 168x240 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_AKWT-1087-0001.jpg, APREZO, Hand Knotted- Wool And Viscose, 150x240 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_LES-1665-0001.jpg, YADGAR QILA, Hand Knotted- Wool And Bamboo Silk, 270x360 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_TRA-7246-0001.jpg, MELANGE BY NILAYA, Hand Tufted- Wool And Viscose, 105x165 cm
