image_urls, collection, material, size
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_AKWL-1441-0001.jpg, ERBE, Hand Knotted- Wool, 240x300 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_SKWL-515-0001.jpg, ERBE, Hand Knotted- Wool, 240x300 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_PAE-603-0001.jpg, LACUNA, Hand Knotted- Wool, 165x255 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_TRA-13041-0004.jpg, IMARA, Hand Tufted- Wool, 150x240 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_AKWL-1539%28CS-01%29-001.jpg, ERBE, Hand Knotted- Wool, 240x300 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_NKRT-253-0001.jpg, FAR EAST, Hand Knotted- Wool And Silk, 240x300 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_GSL-1006-0002.jpg, ERBE, Hand Knotted- Silk, 240x300 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_ESH-1413-0001.jpg, VISCAYA, Hand Knotted- Wool And Silk, 180x270 - 300x420 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_TNQ-3205%28CS-03%29-01.jpg, MYTHOS, Hand Tufted- Wool And Viscose, 180x270 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_SRB-153-0001.jpg, FAR EAST, Hand Knotted- Wool And Bamboo Silk, 240x300 - 270x360 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_JNLP-05-0002.jpg, ERBE, Hand Knotted- Wool, 240x300 - 270x360 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_GS-16-0001.jpg, ERBE, Hand Knotted- Wool, 240x300 cm
